group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
os 4x up down,,,,,1022875.0,ns,328
os 4x up down,,,,,2104750.0,ns,656
os 4x up down,,,,,3064292.0,ns,984
os 4x up down,,,,,4008916.0,ns,1312
os 4x up down,,,,,4933375.0,ns,1640
os 4x up down,,,,,6039250.0,ns,1968
os 4x up down,,,,,6910666.0,ns,2296
os 4x up down,,,,,7919875.0,ns,2624
os 4x up down,,,,,8889167.0,ns,2952
os 4x up down,,,,,9872666.0,ns,3280
os 4x up down,,,,,10850458.0,ns,3608
os 4x up down,,,,,11862125.0,ns,3936
os 4x up down,,,,,12871833.0,ns,4264
os 4x up down,,,,,13818541.0,ns,4592
os 4x up down,,,,,14796041.0,ns,4920
os 4x up down,,,,,15789083.0,ns,5248
os 4x up down,,,,,16785000.0,ns,5576
os 4x up down,,,,,17777291.0,ns,5904
os 4x up down,,,,,18749708.0,ns,6232
os 4x up down,,,,,19774209.0,ns,6560
os 4x up down,,,,,20822209.0,ns,6888
os 4x up down,,,,,21745333.0,ns,7216
os 4x up down,,,,,22700917.0,ns,7544
os 4x up down,,,,,23709084.0,ns,7872
os 4x up down,,,,,24681250.0,ns,8200
os 4x up down,,,,,25719584.0,ns,8528
os 4x up down,,,,,26652875.0,ns,8856
os 4x up down,,,,,27639250.0,ns,9184
os 4x up down,,,,,28786791.0,ns,9512
os 4x up down,,,,,29588291.0,ns,9840
os 4x up down,,,,,30672167.0,ns,10168
os 4x up down,,,,,31540583.0,ns,10496
os 4x up down,,,,,32584458.0,ns,10824
os 4x up down,,,,,33499042.0,ns,11152
os 4x up down,,,,,34546209.0,ns,11480
os 4x up down,,,,,35537125.0,ns,11808
os 4x up down,,,,,36502000.0,ns,12136
os 4x up down,,,,,37459541.0,ns,12464
os 4x up down,,,,,38451666.0,ns,12792
os 4x up down,,,,,39524458.0,ns,13120
os 4x up down,,,,,40488584.0,ns,13448
os 4x up down,,,,,41479250.0,ns,13776
os 4x up down,,,,,42630459.0,ns,14104
os 4x up down,,,,,43481417.0,ns,14432
os 4x up down,,,,,44531250.0,ns,14760
os 4x up down,,,,,45519250.0,ns,15088
os 4x up down,,,,,46428667.0,ns,15416
os 4x up down,,,,,47623000.0,ns,15744
os 4x up down,,,,,48623875.0,ns,16072
os 4x up down,,,,,49686917.0,ns,16400
os 4x up down,,,,,50512083.0,ns,16728
os 4x up down,,,,,51415958.0,ns,17056
os 4x up down,,,,,52427709.0,ns,17384
os 4x up down,,,,,53662167.0,ns,17712
os 4x up down,,,,,54437125.0,ns,18040
os 4x up down,,,,,55495208.0,ns,18368
os 4x up down,,,,,58475916.0,ns,18696
os 4x up down,,,,,59933375.0,ns,19024
os 4x up down,,,,,60132417.0,ns,19352
os 4x up down,,,,,61409833.0,ns,19680
os 4x up down,,,,,62277750.0,ns,20008
os 4x up down,,,,,63215041.0,ns,20336
os 4x up down,,,,,64575250.0,ns,20664
os 4x up down,,,,,65660958.0,ns,20992
os 4x up down,,,,,66191208.0,ns,21320
os 4x up down,,,,,67242750.0,ns,21648
os 4x up down,,,,,68226291.0,ns,21976
os 4x up down,,,,,69396000.0,ns,22304
os 4x up down,,,,,68285959.0,ns,22632
os 4x up down,,,,,69457250.0,ns,22960
os 4x up down,,,,,70256958.0,ns,23288
os 4x up down,,,,,71123542.0,ns,23616
os 4x up down,,,,,71987917.0,ns,23944
os 4x up down,,,,,72965500.0,ns,24272
os 4x up down,,,,,74076583.0,ns,24600
os 4x up down,,,,,75104834.0,ns,24928
os 4x up down,,,,,76359167.0,ns,25256
os 4x up down,,,,,77345042.0,ns,25584
os 4x up down,,,,,78277000.0,ns,25912
os 4x up down,,,,,79109375.0,ns,26240
os 4x up down,,,,,80076542.0,ns,26568
os 4x up down,,,,,81124709.0,ns,26896
os 4x up down,,,,,82550833.0,ns,27224
os 4x up down,,,,,83209750.0,ns,27552
os 4x up down,,,,,84072167.0,ns,27880
os 4x up down,,,,,85057417.0,ns,28208
os 4x up down,,,,,85998791.0,ns,28536
os 4x up down,,,,,87263041.0,ns,28864
os 4x up down,,,,,88275958.0,ns,29192
os 4x up down,,,,,88964125.0,ns,29520
os 4x up down,,,,,89985458.0,ns,29848
os 4x up down,,,,,91041500.0,ns,30176
os 4x up down,,,,,91892250.0,ns,30504
os 4x up down,,,,,93086542.0,ns,30832
os 4x up down,,,,,94005959.0,ns,31160
os 4x up down,,,,,95009542.0,ns,31488
os 4x up down,,,,,96018000.0,ns,31816
os 4x up down,,,,,96964500.0,ns,32144
os 4x up down,,,,,98085833.0,ns,32472
os 4x up down,,,,,98965083.0,ns,32800
